id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
22,Australian Kelpie,"Farm dog, Cattle herding",Herding,14 - 21,43 - 51,10 - 13 years,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",Unknown,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg
23,Australian Shepherd,Sheep herding,Herding,16 - 29,46 - 58,12 - 16 years,"Good-natured, Affectionate, Intelligent, Active, Protective",Unknown,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg
24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,6 - 7,25 - 28,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",Unknown,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg
25,Azawakh,"Livestock guardian, hunting",Hound,15 - 25,58 - 74,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",Unknown,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg
26,Barbet,Hunting water game,Unknown,18 - 29,51 - 66,13 – 15 years,"Obedient, Companionable, Intelligent, Joyful",Unknown,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg
28,Basenji,Hunting,Hound,10 - 11,41 - 43,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",Unknown,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg
29,Basset Bleu de Gascogne,Hunting on foot.,Hound,16 - 18,33 - 38,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",Unknown,https://cdn2.thedogapi.com/images/BkMQll94X.jpg
30,Basset Hound,Hunting by scent,Hound,23 - 29,36,12 - 15 years,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",Unknown,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg
31,Beagle,"Rabbit, hare hunting",Hound,9 - 16,33 - 38,13 - 16 years,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",Unknown,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg
32,Bearded Collie,Sheep herding,Herding,20 - 25,51 - 56,12 - 14 years,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg
33,Beauceron,"Boar herding, hunting, guarding",Herding,36 - 50,61 - 70,10 - 12 years,"Fearless, Friendly, Intelligent, Protective, Calm",Unknown,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg
34,Bedlington Terrier,"Killing rat, badger, other vermin",Terrier,8 - 10,38 - 41,14 - 16 years,"Affectionate, Spirited, Intelligent, Good-tempered",Unknown,https://cdn2.thedogapi.com/images/ByK8gx947.jpg
36,Belgian Malinois,Stock herding,Herding,18 - 36,56 - 66,12 - 14 years,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",Unknown,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg
38,Belgian Tervuren,"Guarding, Drafting, Police work.",Herding,18 - 29,56 - 66,10 - 12 years,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",Unknown,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg
41,Bernese Mountain Dog,Draft work,Working,29 - 54,58 - 70,7 - 10 years,"Affectionate, Loyal, Intelligent, Faithful",Unknown,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg
42,Bichon Frise,Companion,Non-Sporting,5 - 8,24 - 29,15 years,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",Unknown,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg
43,Black and Tan Coonhound,"Hunting raccoons, night hunting",Hound,29 - 45,58 - 69,10 - 12 years,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",Unknown,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg
45,Bloodhound,Trailing,Hound,36 - 50,58 - 69,8 - 10 years,"Stubborn, Affectionate, Gentle, Even Tempered",Unknown,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg
47,Bluetick Coonhound,Hunting with a superior sense of smell.,Hound,20 - 36,53 - 69,12 - 14 years,"Friendly, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg
48,Boerboel,"Guarding the homestead, farm work.",Working,50 - 91,56 - 69,10 - 12 years,"Obedient, Confident, Intelligent, Dominant, Territorial",Unknown,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg
50,Border Collie,Sheep herder,Herding,14 - 20,46 - 56,12 - 16 years,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",Unknown,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg
51,Border Terrier,"Fox bolting, ratting",Terrier,5 - 7,28 - 41,12 - 14 years,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",Unknown,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg
53,Boston Terrier,"Ratting, Companionship",Non-Sporting,5 - 11,41 - 43,11 - 13 years,"Friendly, Lively, Intelligent",Unknown,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg
54,Bouvier des Flandres,Cattle herding,Herding,32 - 50,60 - 70,10 - 15 years,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",Unknown,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg
55,Boxer,"Bull-baiting, guardian",Working,23 - 32,55 - 64,8 - 10 years,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",Unknown,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg
56,Boykin Spaniel,Turkey retrieving,Sporting,11 - 18,36 - 46,10 - 14 years,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",Unknown,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg
57,Bracco Italiano,Versatile gun dog,Sporting,25 - 40,55 - 67,10 - 12 years,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",Unknown,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg
58,Briard,"Herding, guarding sheep",Herding,32 - 41,56 - 69,10 - 12 years,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",Unknown,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg
59,Brittany,"Pointing, retrieving",Sporting,14 - 20,44 - 52,12 - 14 years,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",Unknown,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg
61,Bull Terrier,"Bull baiting, Fighting",Terrier,23 - 32,53 - 56,10 - 12 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",Unknown,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg
62,Bull Terrier (Miniature),An elegant man's fashion statement,Unknown,11 - 15,25 - 36,11 – 14 years,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",Unknown,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg
64,Bullmastiff,Estate guardian,Working,45 - 59,61 - 69,8 - 12 years,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",Unknown,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg
65,Cairn Terrier,"Bolting of otter, foxes, other vermin",Terrier,6 - 6,23 - 25,14 - 15 years,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg
67,Cane Corso,"Companion, guard dog, and hunter",Working,40 - 54,60 - 70,10 - 11 years,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",Unknown,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg
68,Cardigan Welsh Corgi,Cattle droving,Herding,11 - 17,27 - 32,12 - 14 years,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg
69,Catahoula Leopard Dog,Driving livestock,Herding,23 - 43,51 - 66,10 - 12 years,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",Unknown,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg
70,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,36 - 45,61 - 85,10 - 12 years,"Alert, Quick, Dominant, Powerful, Calm, Strong",Unknown,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg
71,Cavalier King Charles Spaniel,"Flushing small birds, companion",Toy,6 - 8,30 - 33,10 - 14 years,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",Unknown,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg
76,Chesapeake Bay Retriever,Water Retriever,Sporting,25 - 36,53 - 66,10 - 13 years,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",Unknown,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg
78,Chinese Crested,"Ratting, lapdog, curio",Toy,5 - 6,28 - 33,10 - 14 years,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",Unknown,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg
79,Chinese Shar-Pei,Fighting,Non-Sporting,20 - 27,46 - 51,10 years,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",Unknown,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg
80,Chinook,Sled pulling,Working,23 - 41,56 - 66,12 - 15 years,"Friendly, Alert, Dignified, Intelligent, Calm",Unknown,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg
81,Chow Chow,"Guardian, cart pulling, hunting",Non-Sporting,18 - 32,43 - 51,12 - 15 years,"Aloof, Loyal, Independent, Quiet",Unknown,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg
84,Clumber Spaniel,"Bird flushing, retrieving",Sporting,25 - 39,43 - 51,10 - 12 years,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",Unknown,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg
86,Cocker Spaniel,"Bird flushing, retrieving",Sporting,9 - 14,36 - 38,12 - 15 years,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",Unknown,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg
87,Cocker Spaniel (American),Hunting the American woodcock,Sporting,9 - 14,36 - 38,12 - 15 years,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",Unknown,https://cdn2.thedogapi.com/images/HkRcZe547.jpg
89,Coton de Tulear,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,4 - 7,23 - 28,13 - 16 years,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",Unknown,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg
92,Dalmatian,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,Non-Sporting,23 - 25,48 - 58,10 - 13 years,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg
94,Doberman Pinscher,Guardian,Working,30 - 40,61 - 71,10 years,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",Unknown,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg
95,Dogo Argentino,Big-game hunting,Working,36 - 45,60 - 69,10 - 12 years,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",Unknown,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg
98,Dutch Shepherd,"Farms, watchdog, guard duty",Unknown,23 - 32,56 - 62,15 years,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",Unknown,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg
