id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
140,Japanese Chin,Lapdog,Toy,2 - 4,20 - 28,12 - 14 years,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",Unknown,https://cdn2.thedogapi.com/images/r1H6feqEm.jpg
141,Japanese Spitz,Companion,Unknown,7 - 9,30 - 38,10 – 16 years,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",Unknown,https://cdn2.thedogapi.com/images/HksaMxqNX.jpg
142,Keeshond,Barge watchdog,Non-Sporting,16 - 20,43 - 46,12 - 15 years,"Agile, Obedient, Playful, Quick, Sturdy, Bright",Unknown,https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg
144,Komondor,Sheep guardian,Working,36 - 45,65 - 70,10 - 12 years,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",Unknown,https://cdn2.thedogapi.com/images/Bko0fl547.jpg
145,Kooikerhondje,"Luring ducks into traps - ""tolling""",Sporting,9 - 14,36 - 41,12 - 15 years,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",Unknown,https://cdn2.thedogapi.com/images/kOMy84GQE.jpg
147,Kuvasz,"Guardian, hunting large game",Working,32 - 52,66 - 76,8 - 10 years,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",Unknown,https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg
149,Labrador Retriever,Water retrieving,Sporting,25 - 36,55 - 62,10 - 13 years,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",Unknown,https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg
151,Lagotto Romagnolo,Water retrieval dog in the marshes of Romagna,Sporting,11 - 16,41 - 48,14 - 16 years,"Keen, Loyal, Companionable, Loving, Active, Trainable",Unknown,https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg
153,Lancashire Heeler,"Cattle herding, Ratting, Driving cattle to market.",Unknown,3 - 6,25 - 30,12 – 15 years,"Clever, Friendly, Alert, Intelligent",Unknown,https://cdn2.thedogapi.com/images/S1RGml5Em.jpg
155,Leonberger,"Guardian, appearance.",Working,54 - 77,65 - 80,6 - 8 years,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",Unknown,https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg
156,Lhasa Apso,"Guarding inside the home, companion",Non-Sporting,5 - 8,25 - 28,12 - 15 years,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",Unknown,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg
161,Maltese,Lapdog,Toy,2 - 3,20 - 25,15 - 18 years,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg
165,Miniature American Shepherd,Unknown,Herding,9 - 18,33 - 46,12 - 15 years,"Energetic, Loyal, Intelligent, Trainable",Unknown,https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg
167,Miniature Pinscher,Small vermin hunting,Toy,4 - 5,25 - 32,15 years,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",Unknown,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg
168,Miniature Schnauzer,Ratting,Terrier,5 - 9,30 - 36,12 - 14 years,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",Unknown,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg
171,Newfoundland,"All purpose water dog, fishing aid",Working,45 - 68,66 - 71,8 - 10 years,"Sweet-Tempered, Gentle, Trainable",Unknown,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg
172,Norfolk Terrier,"Ratting, fox bolting",Terrier,5 - 5,23 - 25,12 - 15 years,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",Unknown,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg
176,Norwich Terrier,"Ratting, fox bolting",Terrier,5 - 5,25,12 - 15 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",Unknown,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg
177,Nova Scotia Duck Tolling Retriever,Unknown,Sporting,16 - 23,43 - 53,12 - 14 years,"Outgoing, Alert, Patient, Intelligent, Loving",Unknown,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg
178,Old English Sheepdog,"Driving sheep, cattle",Herding,27 - 45,53,10 - 12 years,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",Unknown,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg
179,Olde English Bulldogge,Unknown,Unknown,NaN,38 - 48,9 – 14 years,"Friendly, Alert, Confident, Loving, Courageous, Strong",Unknown,https://cdn2.thedogapi.com/images/B1d5me547.jpg
181,Papillon,Lapdog,Toy,1 - 5,20 - 28,13 - 17 years,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",Unknown,https://cdn2.thedogapi.com/images/SkJj7e547.jpg
183,Pekingese,Lapdog,Toy,6,15 - 23,14 - 18 years,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",Unknown,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg
184,Pembroke Welsh Corgi,Driving stock to market in northern Wales,Herding,11 - 14,25 - 30,12 - 14 years,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",Unknown,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg
185,Perro de Presa Canario,Unknown,Working,40 - 50,56 - 65,10 - 12 years,"Strong Willed, Suspicious, Gentle, Dominant, Calm",Unknown,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg
188,Pharaoh Hound,Hunting rabbits,Hound,18 - 27,53 - 64,12 - 14 years,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",Unknown,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg
189,Plott,Hunting big-game like Boar.,Hound,18 - 27,51 - 64,12 - 14 years,"Bold, Alert, Loyal, Intelligent",Unknown,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg
193,Pomeranian,Companion,Toy,1 - 3,20 - 30,15 years,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg
196,Poodle (Miniature),Unknown,Unknown,7 - 8,28 - 38,12 – 15 years,Unknown,Unknown,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg
197,Poodle (Toy),Unknown,Unknown,3 - 4,23 - 28,18 years,Unknown,Unknown,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg
201,Pug,Lapdog,Toy,6 - 8,25 - 30,12 - 14 years,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",Unknown,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg
204,Puli,Herding,Herding,11 - 16,41 - 43,12 - 16 Years years,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",Unknown,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg
205,Pumi,Unknown,Herding,8 - 15,38 - 47,13 - 15 years,"Lively, Reserved, Intelligent, Active, Protective, Vocal",Unknown,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg
